name,price,fruit,tea
mango milk tea,$5.80,mango,milk 
watermelon milk tea,$6.00,watermelon,milk
coconut milk tea,$6.50,coconut,milk
peach milk tea,$6.25,peach,milk
passion-fruit milk tea,$6.25,passion-fruit,milk
lychee milk tea,$6.25,lychee,milk
pineapple milk tea,$6.50,pineapple,milk
honey milk tea,$6.75,honey,milk
dragon-fruit milk tea,$4.65,dragon-fruit,milk
pomegranate milk tea,$4.85,pomegranate,milk
mango green tea,$5.80,mango,green
watermelon green tea,$6.25,watermelon,green
coconut green tea,$6.25,coconut,green
peach green tea,$6.25,peach,green
passion-fruit green tea,$5.20,passion-fruit,green
lychee green tea,$6.50,lychee,green
pineapple green tea,$5.80,pineapple,green
honey green tea,$6.25,honey,green
dragon-fruit green tea,$6.50,dragon-fruit,green
pomegranate green tea,$6.25,pomegranate,green
